device,family,model,quant,mmproj,bound,tok,img,iou,encode_ms,decode_ms,prompt_eval_ms,prompt_tokens,gen_ms,n_tokens,tok_per_sec,load_ms,ttft_ms,ok,note
s25,q35,0.8B,Q4_0,F16,min,576,000000393569.jpg,0.0000,5707,2277,8312.46,679,827.89,39,47.11,560.36,16317.686915729144,1,no bbox in generated output
s25,q35,0.8B,Q4_0,F16,min,576,000000394199.jpg,0.7296,7353,2150,9893.61,679,881.55,41,46.51,918.42,19418.11075252634,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000425226.jpg,0.6507,8351,2594,11378.0,679,1048.0,43,41.03,921.51,22347.37241043139,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000458992.jpg,0.7334,8325,2613,11366.3,679,931.73,39,41.86,941.91,22328.189154323936,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000464476.jpg,0.6236,8663,2323,11416.46,679,936.24,42,44.86,1080.08,22424.75157378511,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000465129.jpg,0.0000,8319,2530,11272.26,679,6281.25,255,40.6,932.76,22145.890541871922,1,no bbox in generated output
s25,q35,0.8B,Q4_0,F16,min,576,000000481386.jpg,0.4519,9789,3002,13276.3,691,1121.39,43,38.35,1135.23,26093.37561929596,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000481567.jpg,0.5187,8325,2694,11448.26,679,1028.69,42,40.83,981.36,22491.751795248594,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000481573.jpg,0.8923,5414,1898,7621.25,691,833.01,46,55.22,638.46,14951.359380659182,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000484415.jpg,0.6714,5562,2115,8006.45,679,781.49,40,51.18,645.18,15702.988882375928,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000485844.jpg,0.5945,5160,1740,7212.05,671,1713.34,113,65.95,673.5,14127.21300227445,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000492937.jpg,0.8920,7088,2268,9762.98,667,2843.49,124,43.61,921.96,19141.910520522815,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000520910.jpg,0.0406,6255,1878,8491.13,691,733.88,43,58.59,832.91,16641.19775900324,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000527750.jpg,0.0768,7394,2585,10376.19,691,1000.37,42,41.98,815.55,20379.010867079563,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000546976.jpg,0.6028,6131,2799,9326.48,679,1022.29,39,38.15,887.46,18282.6923197903,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000565045.jpg,0.0000,5182,1735,7184.82,691,654.07,43,65.74,779.36,14117.031439002129,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000570834.jpg,0.4129,9429,2882,12794.43,679,6279.15,236,37.58,1119.52,25132.039898882384,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000579321.jpg,0.7445,7702,3120,11251.4,707,1166.28,44,37.73,842.69,22099.90410813676,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000579902.jpg,0.5136,8643,2661,11738.66,689,1200.49,46,38.32,931.75,23068.756033402922,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000580294.jpg,0.6325,5139,1841,7265.38,671,705.77,38,53.84,765.62,14263.953551263003,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000017899.jpg,0.1534,695,300,1271.25,208,1351.37,79,58.46,1251.34,2283.355713308245,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000093437.jpg,0.4461,670,296,1229.26,211,745.29,44,59.04,1232.22,2212.197669376694,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000187243.jpg,0.6703,820,308,1413.58,208,740.41,43,58.08,1347.75,2558.7976308539946,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000202228.jpg,0.0000,,,,,,,,,,1,no bbox in generated output
s25,q35,0.8B,Q8_0,F16,max,128,000000210299.jpg,0.3259,633,283,1164.93,208,772.17,46,59.57,1213.27,2097.7169733087126,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000226408.jpg,0.2637,641,294,1205.64,208,743.15,44,59.21,1196.21,2157.5290390136806,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000261888.jpg,0.1994,641,289,1185.19,208,4009.56,235,58.61,1209.74,2132.251934823409,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000289343.jpg,0.1814,629,287,1157.35,211,1345.06,80,59.48,1193.49,2090.1623739071956,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000329219.jpg,0.3450,640,278,1151.57,208,2508.24,148,59.01,1174.6,2086.5162802914756,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000394199.jpg,0.4711,690,314,1267.74,208,713.39,42,58.87,1239.64,2288.7265806013247,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000425226.jpg,0.6890,644,281,1170.61,208,1350.01,80,59.26,1193.08,2112.4847890651363,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000458992.jpg,0.7309,639,289,1168.76,208,1126.27,67,59.49,1166.53,2113.5695478231637,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000464476.jpg,0.0497,648,280,1199.39,208,1351.97,80,59.17,1196.99,2144.2904563123207,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000481386.jpg,0.4320,653,285,1192.85,208,4373.02,255,58.31,1203.91,2147.999717029669,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000481567.jpg,0.0000,720,320,1304.13,208,1320.66,76,57.55,923.41,2361.5061946133796,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000492937.jpg,0.2679,656,295,1205.42,212,758.94,45,59.29,1195.98,2173.2862506324846,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000546976.jpg,0.7447,748,321,1342.9,208,1338.16,78,58.29,1244.89,2429.055601303826,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000570834.jpg,0.0000,695,294,1248.77,208,4422.42,255,57.66,1247.9,2255.113045438779,1,no bbox in generated output
s25,q35,0.8B,Q8_0,F16,max,128,000000579321.jpg,0.5461,585,259,1098.71,199,1283.07,76,59.23,1206.34,1959.5933361472228,1,
s25,q35,0.8B,Q8_0,F16,max,128,000000579902.jpg,0.6323,645,288,1174.23,211,776.4,46,59.25,1165.98,2124.107637130802,1,
s25,q35,0.8B,Q8_0,F16,max,72,000000002532.jpg,0.0024,351,175,796.5,154,1374.34,80,58.21,915.67,1339.6791788352516,1,
s25,q35,0.8B,Q8_0,F16,max,72,000000003156.jpg,0.7190,390,173,805.42,161,759.1,45,59.28,847.44,1385.2890958164644,1,
s25,q35,0.8B,Q8_0,F16,max,72,000000017899.jpg,0.1346,406,206,906.83,154,5312.41,255,48.0,1036.06,1539.6633333333332,1,
s25,q35,0.8B,Q8_0,F16,max,72,000000030828.jpg,0.0000,313,156,721.26,151,4406.75,255,57.87,1174.65,1207.5401105927078,1,
s25,q35,0.8B,Q8_0,F16,max,72,000000037670.jpg,0.4831,381,188,858.6,154,1888.19,108,57.2,1254.47,1445.0825174825175,1,
s25,q35,0.8B,Q8_0,F16,max,72,000000054654.jpg,0.1670,359,163,806.94,151,1386.27,80,57.71,970.29,1346.2680194073819,1,
